,scoreType,score_mean,score_min,score_max,score_stdev
0,jaccard(bert),0.824948315590742,0.824678213942968,0.8252086472065108,0.00010022723154577877
1,jaccard(top_bow),0.8249548058600127,0.8247182592108253,0.8252604015853277,0.00012436618593485835
2,jaccard(top_tfidf),0.8249813032044454,0.8247235858104229,0.825350074390113,0.00014509777279212718
3,jaccard(w2v_sif),0.8249000044113453,0.8246763735850275,0.8252312152512961,0.00011405284253750562
4,jaccard(w2v_weighted),0.8249121951767034,0.8246089914708236,0.8252854301385284,0.00013019358254624986
5,sas(bert),0.00012631578947368383,-0.007894736842105263,0.008947368421052633,0.003472798043974349
6,sas(top_bow),0.014084210526315788,0.0026315789473684206,0.03421052631578947,0.00651000345158908
7,sas(top_tfidf),0.004652631578947368,-0.005789473684210527,0.015263157894736841,0.004824181513244218
8,sas(w2v_sif),0.026105263157894725,0.013157894736842106,0.057368421052631575,0.007488951168381002
9,sas(w2v_weighted),0.024126315789473697,0.004736842105263157,0.04684210526315789,0.007374008665940572
