,scoreType,score_mean,score_min,score_max,score_stdev
0,jaccard(bert),0.8239843747131042,0.8238338139781501,0.8241470867166735,7.10392482057055e-05
1,jaccard(top_bow),0.8239618648339365,0.823791886581362,0.824175332810913,8.794152028140227e-05
2,jaccard(top_tfidf),0.823984336443002,0.8237682763718539,0.8242425561814481,0.00011047705872292063
3,jaccard(w2v_sif),0.823965202946988,0.8237942175514624,0.8242368617520539,9.025480809080288e-05
4,jaccard(w2v_weighted),0.8239592256666448,0.8237441452443295,0.824222605908996,8.125005217114289e-05
5,sas(bert),0.0025052631578947352,-0.011578947368421053,0.011578947368421053,0.004455349111583892
6,sas(top_bow),0.01978947368421052,0.003157894736842106,0.0431578947368421,0.008230159598410312
7,sas(top_tfidf),0.003599999999999998,-0.011578947368421053,0.022105263157894735,0.006207074253029234
8,sas(w2v_sif),0.03901052631578948,0.017894736842105265,0.06210526315789473,0.00995338192225689
9,sas(w2v_weighted),0.037052631578947365,0.009473684210526315,0.07894736842105263,0.010547559637096426
