,scoreType,score_mean,score_min,score_max,score_stdev
0,jaccard(bert),0.8234065014919445,0.8232873962898527,0.8235501307950449,4.818670553159721e-05
1,jaccard(top_bow),0.8233890925469592,0.8233130109662624,0.8235057455232233,4.0036477128462086e-05
2,jaccard(top_tfidf),0.8233939165446231,0.8232840817962735,0.8235555089527835,5.098670949780937e-05
3,jaccard(w2v_sif),0.8234126644106857,0.8233140085295675,0.8235822739365151,5.0173433729467126e-05
4,jaccard(w2v_weighted),0.8233998460613617,0.8233188733522985,0.823548040063186,4.6728948300572335e-05
5,sas(bert),0.014589473684210525,-0.010000000000000002,0.04473684210526316,0.011014231666210574
6,sas(top_bow),0.02665263157894736,-0.0015789473684210548,0.0531578947368421,0.011307909920576564
7,sas(top_tfidf),0.00709473684210526,-0.012105263157894737,0.032105263157894734,0.00907744827325002
8,sas(w2v_sif),0.06768421052631578,0.021578947368421045,0.10368421052631578,0.015326547135327405
9,sas(w2v_weighted),0.06279999999999997,0.021578947368421045,0.09947368421052631,0.015663663222914098
